wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
AQ6C20101009, Stadium Gl,-61.122,-54.727,17.881,317, 
AQ6C20101010, ,-61.141,-54.739,5.549,248, 
AQ6C20101011, ,-61.146,-54.777,4.567,324, 
AQ6C20101012, ,-61.14,-54.816,9.307,395, 
AQ6C20101013, ,-61.148,-54.925,18.33,335, 
AQ6C20101014, Endurance Gl,-61.161,-55.15,120.912,324, 
AQ6C20101015, ,-61.236,-55.211,16.113,380, 
AQ6C20101016, ,-61.264,-55.223,3.422,302, 
AQ6C20101017, ,-61.26,-55.248,2.812,437, 
AQ6C20101018, ,-61.25,-55.264,5.369,441, 
AQ6C20101019, ,-61.231,-55.285,22.516,356, 
AQ6C20101020, ,-61.194,-55.323,24.267,351, 
AQ6C20101021, Sultan Gl,-61.135,-55.316,60.759,311, 
AQ6C20101022, ,-61.094,-55.387,20.644,263, 
AQ6C20102101, ,-61.48,-55.946,0.283,367, 
AQ6C20102201, ,-61.465,-55.918,0.372,537, 
AQ6C20102202, ,-61.467,-55.905,1.067,428, 
AQ6C20102203, ,-61.474,-55.911,0.915,434, 
AQ6C20102306, ,-61.483,-55.475,0.311,188, 
AQ6C20102307, ,-61.491,-55.462,0.163,189, 
AQ6C20104001, ,-62.279,-58.994,28.937,197, 
AQ6C20104002, ,-62.286,-58.883,15.828,136, 
AQ6C20104003, ,-62.322,-58.988,49.006,203, 
AQ6C20104004, ,-62.308,-59.121,29.325,198, 
AQ6C20104005, ,-62.27,-59.105,30.869,178, 
AQ6C20105001, ,-62.38,-59.445,58.558,182, 
AQ6C20105002, ,-62.419,-59.378,7.193,146, 
AQ6C20105003, ,-62.425,-59.448,20.401,217, 
AQ6C20105004, ,-62.412,-59.584,48.932,200, 
AQ6C20105005, ,-62.356,-59.656,13.042,74, 
AQ6C20106001, ,-62.456,-59.958,3.992,139, 
AQ6C20106002, ,-62.465,-59.902,10.022,172, 
AQ6C20106003, ,-62.46,-59.85,11.613,172, 
AQ6C20106004, Quito Gl,-62.456,-59.792,4.553,136, 
AQ6C20106005, ,-62.5,-59.772,26.351,218, 
AQ6C20106006, Fuerza Aerea Gl,-62.498,-59.657,7.268,244, 
AQ6C20106007, ,-62.489,-59.617,8.756,236, 
AQ6C20106008, ,-62.507,-59.575,2.303,186, 
AQ6C20106009, ,-62.512,-59.619,4.432,297, 
AQ6C20106010, ,-62.532,-59.618,10.015,240, 
